year	doy	hour	CAM1_DBTCDT
2011	1	0	0.575
2011	1	1	0.5735
2011	1	2	0.579
2011	1	3	0.5895
2011	1	4	0.5875
2011	1	5	0.604
2011	1	6	0.61
2011	1	7	0.6115
2011	1	8	0.6135
2011	1	9	0.6155
2011	1	10	0.6155
2011	1	11	0.6125
2011	1	12	0.6115
2011	1	13	0.608
2011	1	14	0.6085
2011	1	15	0.6085
2011	1	16	0.608
2011	1	17	0.6065
2011	1	18	0.6055
2011	1	19	0.6035
2011	1	20	0.602
2011	1	21	0.6025
2011	1	22	0.601
2011	1	23	0.596
2011	2	0	0.5975
2011	2	1	0.596
2011	2	2	0.5955
2011	2	3	0.593
2011	2	4	0.592
2011	2	5	0.5915
2011	2	6	0.584
2011	2	7	0.5855
2011	2	8	0.584
2011	2	9	0.5865
2011	2	10	0.5865
2011	2	11	0.5785
2011	2	12	0.578
2011	2	13	0.578
2011	2	14	0.575
2011	2	15	0.5755
2011	2	16	0.577
2011	2	17	0.5735
2011	2	18	0.5755
2011	2	19	0.5765
2011	2	20	0.576
2011	2	21	0.576
2011	2	22	0.576
2011	2	23	0.575
2011	3	0	0.575
2011	3	1	0.5745
2011	3	2	0.574
2011	3	3	0.5745
2011	3	4	0.574
2011	3	5	0.5735
2011	3	6	0.5725
2011	3	7	0.572
2011	3	8	0.573
2011	3	9	0.573
2011	3	10	0.574
2011	3	11	0.5685
2011	3	12	0.5685
2011	3	13	0.566
2011	3	14	0.566
2011	3	15	0.566
2011	3	16	0.564
2011	3	17	0.5595
2011	3	18	0.562
2011	3	19	0.563
2011	3	20	0.5625
2011	3	21	0.561
2011	3	22	0.5625
2011	3	23	0.5625
2011	4	0	0.5625
2011	4	1	0.564
2011	4	2	0.562
2011	4	3	0.562
2011	4	4	0.562
2011	4	5	0.5655
2011	4	6	0.564
2011	4	7	0.5635
2011	4	8	0.5635
2011	4	9	0.5615
2011	4	10	0.558
2011	4	11	0.557
2011	4	12	0.5535
2011	4	13	0.5535
2011	4	14	0.552
2011	4	15	0.5515
2011	4	16	0.5525
2011	4	17	0.551
2011	4	18	0.5515
2011	4	19	0.554
2011	4	20	0.554
2011	4	21	0.5615
2011	4	22	0.557
2011	4	23	0.5555
2011	5	0	0.5545
2011	5	1	0.553
2011	5	2	0.5535
2011	5	3	0.5535
2011	5	4	0.561
2011	5	5	0.5635
2011	5	6	0.567
2011	5	7	0.5645
2011	5	8	0.567
2011	5	9	0.57
2011	5	10	0.5635
2011	5	11	0.562
2011	5	12	0.564
2011	5	13	0.5655
2011	5	14	0.56
2011	5	15	0.562
2011	5	16	0.5625
2011	5	17	0.5585
2011	5	18	0.563
2011	5	19	0.56
2011	5	20	0.558
2011	5	21	0.5575
2011	5	22	0.559
2011	5	23	0.561
2011	6	0	0.561
2011	6	1	0.559
2011	6	2	0.5605
2011	6	3	0.56
2011	6	4	0.5545
2011	6	5	0.557
2011	6	6	0.556
2011	6	7	0.5565
2011	6	8	0.562
2011	6	9	0.563
2011	6	10	0.5575
2011	6	11	0.5555
2011	6	12	0.5545
2011	6	13	0.554
2011	6	14	0.553
2011	6	15	0.555
2011	6	16	0.555
2011	6	17	0.555
2011	6	18	0.555
2011	6	19	0.555
2011	6	20	0.5555
2011	6	21	0.5575
2011	6	22	0.558
2011	6	23	0.557
2011	7	0	0.5555
2011	7	1	0.556
2011	7	2	0.556
2011	7	3	0.5565
2011	7	4	0.555
2011	7	5	0.5555
2011	7	6	0.5555
2011	7	7	0.5565
2011	7	8	0.5595
2011	7	9	0.562
2011	7	10	0.563
2011	7	11	0.564
2011	7	12	0.565
2011	7	13	0.5645
2011	7	14	0.564
2011	7	15	0.564
2011	7	16	0.5635
2011	7	17	0.563
2011	7	18	0.56
2011	7	19	0.559
2011	7	20	0.561
2011	7	21	0.561
2011	7	22	0.5605
2011	7	23	0.56
2011	8	0	0.56
2011	8	1	0.5595
2011	8	2	0.558
2011	8	3	0.5545
2011	8	4	0.5565
2011	8	5	0.553
2011	8	6	0.5575
2011	8	7	0.5555
2011	8	8	0.555
2011	8	9	0.5525
2011	8	10	0.557
2011	8	11	0.553
2011	8	12	0.55
2011	8	13	0.553
2011	8	14	0.5515
2011	8	15	0.552
2011	8	16	0.553
2011	8	17	0.548
2011	8	18	0.5505
2011	8	19	0.552
2011	8	20	0.5525
2011	8	21	0.553
2011	8	22	0.5525
2011	8	23	0.5525
2011	9	0	0.5525
2011	9	1	0.553
2011	9	2	0.5525
2011	9	3	0.5525
2011	9	4	0.552
2011	9	5	0.553
2011	9	6	0.5525
2011	9	7	0.5515
2011	9	8	0.552
2011	9	9	0.553
2011	9	10	0.5495
2011	9	11	0.5435
2011	9	12	0.5465
2011	9	13	0.548
2011	9	14	0.5465
2011	9	15	0.5445
2011	9	16	0.542
2011	9	17	0.543
2011	9	18	0.5455
2011	9	19	0.5465
2011	9	20	0.5475
2011	9	21	0.547
2011	9	22	0.5475
2011	9	23	0.5495
2011	10	0	0.55
2011	10	1	0.5495
2011	10	2	0.551
2011	10	3	0.55
2011	10	4	0.549
2011	10	5	0.548
2011	10	6	0.5475
2011	10	7	0.546
2011	10	8	0.5455
2011	10	9	0.5485
2011	10	10	0.5465
2011	10	11	0.543
2011	10	12	0.543
2011	10	13	0.541
2011	10	14	0.5415
2011	10	15	0.5455
