year	doy	hour	Tair	Tsoil	RH	VPD	Rain	WS	PAR
2011	1	0	-12.85	0.7325	90.3	94.9	0	1.5325	0
2011	1	1	-12.8	0.7275	91.8	94.85	0	1.5445	0
2011	1	2	-12.75	0.7225	92.65	94.75	0	1.598	0
2011	1	3	-12.5	0.7335	93.6	94.6	0	0.759	0
2011	1	4	-12.3	0.733	93.9	94.7	0	0.35	0
2011	1	5	-12.6	0.72	93.95	94.6	0	0.259	0
2011	1	6	-12.75	0.715	93.35	94.6	0	0.527	0
2011	1	7	-15.15	0.6525	89.75	94.6	0	0.6195	0
2011	1	8	-17.25	0.5935	88.5	94.65	0	0.5445	0
2011	1	9	-18.25	0.6035	88.15	94.7	0	0.6045	1.238
2011	1	10	-19	0.608	87.45	94.7	0	0.5725	10.132
2011	1	11	-18.75	0.6435	86.85	94.8	0	0.725	25.22
2011	1	12	-17.3	0.715	85.95	94.8	0	0.555	63.615
2011	1	13	-16.05	0.7585	85.4	94.8	0	0.728	80.02
2011	1	14	-14.45	0.8175	85.05	94.85	0	0.964	86.985
2011	1	15	-14.35	0.7625	84.65	94.9	0	1.0135	69.87
2011	1	16	-14.55	0.755	83.6	95	0	1.0465	59.3
2011	1	17	-15.25	0.6775	84.9	95.15	0	1.216	22.165
2011	1	18	-15.6	0.6485	85.8	95.3	0	0.9855	6.1905
2011	1	19	-15.5	0.6665	87.1	95.4	0	1.0505	0
2011	1	20	-15.75	0.6595	86.35	95.5	0	1.069	0
2011	1	21	-17.05	0.5855	86.4	95.6	0	0.7795	0.1125
2011	1	22	-18.25	0.555	87.9	95.7	0	0.6785	0
2011	1	23	-19.15	0.539	89.2	95.7	0	0.5335	0.1125
2011	2	0	-18	0.613	89.1	95.8	0	0.8345	0
2011	2	1	-18.5	0.605	87.75	95.9	0	0.603	0.225
2011	2	2	-19.05	0.595	88	95.9	0	0.6235	0.225
2011	2	3	-19	0.627	87.45	96	0	0.726	0
2011	2	4	-19.45	0.6165	86.5	96.05	0	0.654	0
2011	2	5	-19.7	0.616	87	96.1	0	0.565	0.2255
2011	2	6	-20.35	0.59	86.45	96.1	0	0.4565	0.1125
2011	2	7	-22.8	0.4725	83.4	96.1	0	0.3675	0.4505
2011	2	8	-26.2	0.3855	81.5	96.2	0	0.2625	0.789
2011	2	9	-27.95	0.3865	80.6	96.2	0	0.2035	3.3825
2011	2	10	-29	0.396	80.15	96.3	0	0.1805	10.488
2011	2	11	-24	0.5825	85.35	96.3	0	0.3485	60.815
2011	2	12	-18.15	0.9325	77.715	96.3	0	0.4675	94.44
2011	2	13	-15.4	1.166	71.85	96.3	0	0.575	121.3
2011	2	14	-12.85	1.2475	66.73	96.3	0	0.603	125.95
2011	2	15	-11.65	1.221	64.75	96.2	0	0.557	111.5
2011	2	16	-12.1	0.8425	69.88	96.2	0	0.3965	64.54
2011	2	17	-15.75	0.4995	82.75	96.25	0	0.2395	17.1
2011	2	18	-19.75	0.413	85.05	96.3	0	0.1465	5.2895
2011	2	19	-24.1	0.358	82.5	96.4	0	0.117	0.338
2011	2	20	-27.1	0.3495	80.75	96.45	0	0.11	1.3525
2011	2	21	-29.1	0.3535	79.48	96.5	0	0.1085	1.6915
2011	2	22	-30.55	0.3615	78.235	96.5	0	0.0965	2.03
2011	2	23	-31.7	0.3655	77.33	96.5	0	0.1105	1.9175
2011	3	0	-32.65	0.363	76.165	96.5	0	0.157	1.8055
2011	3	1	-33.5	0.3645	75.275	96.6	0	0.1205	1.2415
2011	3	2	-34.3	0.362	74.075	96.6	0	0.1615	1.919
2011	3	3	-35	0.358	73.465	96.55	0	0.1385	1.919
2011	3	4	-35.4	0.361	73.385	96.55	0	0.175	1.8065
2011	3	5	-35.95	0.3635	72.51	96.6	0	0.139	1.242
2011	3	6	-36.4	0.359	71.925	96.6	0	0.144	0.6775
2011	3	7	-36.7	0.36	71.545	96.6	0	0.1485	0.565
2011	3	8	-37.1	0.367	70.94	96.6	0	0.1465	1.0165
2011	3	9	-37.35	0.3505	70.88	96.6	0	0.14	2.0335
2011	3	10	-36.9	0.3665	71.525	96.6	0	0.1615	12.4235
2011	3	11	-31.95	0.54	75.925	96.6	0	0.1875	40.885
2011	3	12	-25.35	0.741	77.555	96.7	0	0.232	63.995
2011	3	13	-21.05	0.82	77.19	96.6	0	0.3445	71.05
2011	3	14	-17.55	0.8885	76.67	96.5	0	0.5515	96.35
2011	3	15	-15.4	0.8595	75.015	96.5	0	0.446	79.725
2011	3	16	-14.75	0.7765	74.37	96.4	0	0.423	63.945
2011	3	17	-14.75	0.7085	76.945	96.4	0	0.2725	36.585
2011	3	18	-17.4	0.568	82.2	96.4	0	0.0875	7.4315
2011	3	19	-21.9	0.428	82.85	96.4	0	0.09	0.6755
2011	3	20	-24.2	0.4315	83.05	96.4	0	0.078	0.5635
2011	3	21	-25.9	0.432	81.8	96.4	0	0.082	1.2395
2011	3	22	-28.45	0.3665	78.315	96.4	0	0.097	2.142
2011	3	23	-31	0.332	76.755	96.4	0	0.1075	1.8045
2011	4	0	-32.55	0.333	76.055	96.4	0	0.116	1.918
2011	4	1	-33.2	0.35	75.615	96.4	0	0.185	1.1285
2011	4	2	-33.1	0.3975	76.24	96.3	0	0.1635	1.354
2011	4	3	-33.05	0.4095	75.34	96.3	0	0.1915	1.4675
2011	4	4	-33.6	0.396	74.54	96.3	0	0.1125	1.129
2011	4	5	-34.25	0.379	74.205	96.3	0	0.1175	1.1285
2011	4	6	-33.75	0.418	76.045	96.25	0	0.152	1.016
2011	4	7	-30.4	0.5415	79.97	96.2	0	0.2265	1.4675
2011	4	8	-28.1	0.574	81.75	96.2	0	0.2505	1.8055
2011	4	9	-25.3	0.6225	84.7	96.2	0	0.2335	2.82
2011	4	10	-22.1	0.6785	87.05	96.2	0	0.297	22.998
2011	4	11	-19.95	0.732	84.8	96.25	0	0.4895	121.25
2011	4	12	-18.05	0.793	80.38	96.3	0	0.7125	309.15
2011	4	13	-16.05	0.938	75.165	96.3	0	0.6685	474.5
2011	4	14	-14.3	1.032	70.565	96.2	0	0.6055	566.55
2011	4	15	-13.25	1.0055	68.93	96.15	0	0.5955	483.05
2011	4	16	-13.6	0.7885	71.5	96.1	0.1	0.481	347.95
2011	4	17	-16.15	0.4985	80.825	96.2	0	0.3095	76.28
2011	4	18	-19.9	0.4085	84.35	96.2	0	0.1245	16.995
2011	4	19	-23.65	0.3745	83.4	96.2	0	0.0875	1.239
2011	4	20	-25.85	0.384	82.65	96.2	0	0.0885	1.352
2011	4	21	-27.1	0.4055	82.2	96.2	0	0.1215	2.142
2011	4	22	-25.85	0.514	87.15	96.1	0	0.144	1.917
2011	4	23	-20.45	0.7005	91.5	96.1	0	0.3005	0.4505
2011	5	0	-17.1	0.742	91.3	96	0	0.326	0.1125
2011	5	1	-16.4	0.7165	90.7	96	0	0.252	0.3375
2011	5	2	-16.35	0.681	90.1	95.9	0	0.3735	0
2011	5	3	-16.05	0.6905	90.05	95.9	0	0.416	0.1125
2011	5	4	-15.85	0.679	89.9	95.8	0	0.4575	0.1125
2011	5	5	-15.85	0.6725	89.95	95.8	0	0.448	0
2011	5	6	-15.75	0.669	90.25	95.75	0	0.406	0
2011	5	7	-15.55	0.6665	90.7	95.7	0	0.306	0.1125
2011	5	8	-17.45	0.5735	87.65	95.7	0	0.1055	0
2011	5	9	-19.4	0.533	87.4	95.7	0	0.104	2.0265
2011	5	10	-20.05	0.555	88.45	95.7	0	0.084	18.47
2011	5	11	-17.4	0.634	87.7	95.75	0	0.085	84.345
2011	5	12	-12.95	0.894	77.615	95.8	0	0.441	203.55
2011	5	13	-10.8	1.12	74.86	95.75	0	0.794	237.55
2011	5	14	-10.95	0.8215	78.045	95.7	0	0.8825	150.85
2011	5	15	-10.01	0.9595	74.52	95.7	0	0.7215	232.9
2011	5	16	-9.85	0.8515	75.29	95.7	0	0.6545	186.75
2011	5	17	-10.7	0.629	80.76	95.8	0	0.5735	51.39
2011	5	18	-14.1	0.5005	87.2	95.9	0	0.26	9.7875
2011	5	19	-16.65	0.5145	92.15	95.9	0	0.1955	0.1125
2011	5	20	-16.35	0.58	91.3	96	0	0.23	0
2011	5	21	-17.4	0.5265	90.6	96	0	0.3015	0.5625
2011	5	22	-19.55	0.4825	87.75	96	0	0.224	0.1125
2011	5	23	-20.55	0.4975	88.7	96	0	0.1825	0.901
2011	6	0	-20.75	0.5555	87.4	96	0	0.1515	0.338
2011	6	1	-20.95	0.5685	87.6	96	0	0.167	0.7885
2011	6	2	-21.05	0.563	86.55	96	0	0.1455	0.6755
2011	6	3	-21.7	0.545	86.85	96	0	0.132	0.4505
2011	6	4	-21.2	0.584	86.95	96	0	0.1575	0.338
2011	6	5	-22.9	0.4995	83.5	96	0	0.17	1.352
2011	6	6	-26	0.393	81.25	96	0	0.1655	1.352
2011	6	7	-27.7	0.383	80.075	96	0	0.18	1.578
2011	6	8	-29.1	0.377	78.9	96	0	0.1615	2.368
2011	6	9	-29.25	0.432	80.395	96	0	0.1445	3.835
2011	6	10	-25.45	0.5995	85.4	96	0	0.14	20.075
2011	6	11	-20.2	0.728	89.2	96.1	0	0.5065	66.395
2011	6	12	-18.3	0.7465	88.75	96.05	0	0.68	116.95
2011	6	13	-17.3	0.7505	86.9	96	0	0.768	177.55
2011	6	14	-16.2	0.7655	83.25	95.95	0	0.7155	199.15
2011	6	15	-15.45	0.7795	80.13	95.9	0	0.6555	163.2
2011	6	16	-15.35	0.702	81.2	95.85	0	0.568	81.825
2011	6	17	-15.1	0.675	82.35	95.85	0	0.497	50.64
2011	6	18	-15.4	0.6415	85.45	95.7	0	0.243	8.891
2011	6	19	-16.15	0.6055	88.8	95.6	0	0.1825	0.225
2011	6	20	-15.85	0.632	89.4	95.7	0	0.3355	0.225
2011	6	21	-15.55	0.6485	89.4	95.6	0	0.232	0.1125
2011	6	22	-15.45	0.6555	89.75	95.6	0	0.4325	0.1125
2011	6	23	-15.3	0.6495	89.7	95.5	0	0.3245	0
2011	7	0	-15.3	0.648	89.8	95.4	0	0.325	0
2011	7	1	-15.75	0.6235	89.85	95.35	0	0.2645	0
2011	7	2	-16.4	0.586	90.45	95.3	0	0.3805	0
2011	7	3	-16.2	0.623	88.6	95.2	0	0.5115	0.1125
2011	7	4	-16.1	0.636	86.8	95.2	0	0.4935	0
2011	7	5	-16.2	0.638	85.4	95.2	0	0.563	0.1125
2011	7	6	-16.15	0.6375	86.1	95.15	0	0.653	0
2011	7	7	-16.05	0.64	85.95	95.05	0	0.7045	0
