V1	V2
1	-9999
2	-9999
3	-9999
4	-9999
5	-9999
6	-9999
7	-9999
8	-9999
9	-9999
10	-9999
11	-9999
12	-9999
13	-9999
14	-9999
15	-9999
16	-9999
17	-9999
18	-9999
19	-9999
20	-9999
21	-9999
22	-9999
23	-9999
24	-9999
25	-9999
26	-9999
27	-9999
28	-9999
29	-9999
30	-9999
31	-9999
32	-9999
33	-9999
34	-9999
35	-9999
36	-9999
37	-9999
38	-9999
39	-9999
40	-9999
41	-9999
42	-9999
43	-9999
44	-9999
45	-9999
46	-9999
47	-9999
48	-9999
49	-9999
50	-9999
51	-9999
52	-9999
53	-9999
54	-9999
55	-9999
56	-9999
57	-9999
58	-9999
59	-9999
60	-9999
61	-9999
62	-9999
63	-9999
64	-9999
65	-9999
66	-9999
67	-9999
68	-9999
69	-9999
70	-9999
71	-9999
72	-9999
73	-9999
74	-9999
75	-9999
76	-9999
77	-9999
78	-9999
79	-9999
80	-9999
81	-9999
82	-9999
83	-9999
84	-9999
85	-9999
86	-9999
87	-9999
88	-9999
89	-9999
90	-9999
91	-9999
92	-9999
93	-9999
94	-9999
95	-9999
96	-9999
97	-9999
98	-9999
99	-9999
100	-9999
101	-9999
102	-9999
103	-9999
104	-9999
105	-9999
106	-9999
107	-9999
108	-9999
109	-9999
110	-9999
111	-9999
112	-9999
113	-9999
114	-9999
115	-9999
116	-9999
117	-9999
118	-9999
119	-9999
120	-9999
121	-9999
122	-9999
123	-9999
124	-9999
125	-9999
126	-9999
127	-9999
128	-9999
129	-9999
130	-9999
131	-9999
132	-9999
133	-9999
134	-9999
135	-9999
136	-9999
137	-9999
138	-9999
139	-9999
140	-9999
141	-9999
142	-9999
143	-9999
144	-9999
145	-9999
146	-9999
147	-9999
148	-9999
149	-9999
150	-9999
151	-9999
152	-9999
153	-9999
154	-9999
155	-9999
156	-9999
157	-9999
158	-9999
159	-9999
160	-9999
161	-9999
162	-9999
163	-9999
164	-9999
165	-9999
166	-9999
167	-9999
168	-9999
169	-9999
170	-9999
171	-9999
172	-9999
173	-23.75
174	-24.95833333
175	-29.20833333
176	-35.14583333
177	-34.0625
178	27.02083333
179	46.04166667
180	43.66666667
181	36.25
182	27.8125
183	18.04166667
184	7.791666667
185	-1.0625
186	-8.791666667
187	-16
188	-20.4375
189	-20.45833333
190	-24.39583333
191	-28.39583333
192	-34.33333333
193	-40.47916667
194	-44.6875
195	-49.0625
196	-47.97916667
197	-49.29166667
198	-51.02083333
199	-53.60416667
200	-8.229166667
201	38.41666667
202	26.35416667
203	17.10416667
204	22.0625
205	20.5
206	12.60416667
207	4.520833333
208	7.375
209	2.645833333
210	-3.5625
211	-8.6875
212	-13.70833333
213	-12.52083333
214	66.79166667
215	50.08333333
216	42.39583333
217	52.1875
218	66.97916667
219	62.54166667
220	64
221	62.20833333
222	54.20833333
223	48.22916667
224	55.89583333
225	49.60416667
226	42.8125
227	37.6875
228	37.66666667
229	34.125
230	29.91666667
231	27.875
232	22.35416667
233	19.60416667
234	18.41666667
235	17.89583333
236	14.22916667
237	9.604166667
238	6.583333333
239	0.916666667
240	-2.083333333
241	-3.395833333
242	-4.653846154
243	-9999
244	9.7
245	5.166666667
246	-1.041666667
247	-5.083333333
248	-10.14583333
249	-12.4375
250	-15.5
251	-17.97916667
252	-21.25
253	-25
254	-28.66666667
255	-32.60416667
256	-38.14583333
257	-43.35416667
258	-46.60416667
259	-46.45833333
260	-45.4375
261	-41.54166667
262	-38.97916667
263	-37.3125
264	-24.13636364
265	-22.94117647
266	-27.08333333
267	-30.85416667
268	-33.27083333
269	-36.08333333
270	-39.4375
271	-41.08333333
272	-41
273	-43.04166667
274	-44.3125
275	-44.04166667
276	-46.52083333
277	-46.79166667
278	-59.54545455
279	-60.3125
280	-63.0625
281	-24
282	-29.75
283	-30.10416667
284	-28.27083333
285	-22.47916667
286	13.95833333
287	5.666666667
288	-1.125
289	-4.145833333
290	-7.625
291	-8.270833333
292	-9.979166667
293	-12.375
294	-13.89583333
295	-14.97916667
296	-8.9375
297	-10.875
298	-11.60714286
299	-12.84615385
300	-10.5
301	-9.729166667
302	-11.02083333
303	-10.70833333
304	-12.08333333
305	-11.3125
306	-14.16666667
307	-17.60416667
308	-18.3125
309	-16.625
310	-16.6875
311	-20.04166667
312	-23.89583333
313	-26
314	-26.25
315	-26.6875
316	-27.20833333
317	-27.22916667
318	-28.29166667
319	-29.75
320	-31.60416667
321	-34.52083333
322	-35.0625
323	-36.35416667
324	-40.68181818
325	-41.625
326	-38.22916667
327	-37.77083333
328	-38.9375
329	-39.08333333
330	-28
331	-24.14583333
332	-25.4375
333	-32.29166667
334	-33.22916667
335	-38.1875
336	-40.8125
337	-40.54166667
338	-44.3125
339	-9999
340	-9999
341	-9999
342	-9999
343	-9999
344	-9999
345	-9999
346	-9999
347	-9999
348	-9999
349	-9999
350	-9999
351	-9999
352	-9999
353	-9999
354	-9999
355	-9999
356	-9999
357	-9999
358	-9999
359	-9999
360	-9999
361	-9999
362	-9999
363	-9999
364	-9999
365	-9999
366	-9999
367	-9999
368	-9999
369	-9999
370	-9999
371	-9999
372	-9999
373	-9999
374	-9999
375	-9999
376	-9999
377	-9999
378	-9999
379	-9999
380	-9999
381	-9999
382	-9999
383	-9999
384	-9999
385	-9999
386	-9999
387	-9999
388	-9999
389	-9999
390	-9999
391	-9999
392	-9999
393	-9999
394	-9999
395	-9999
396	-9999
397	-9999
398	-9999
399	-9999
400	-9999
401	-9999
402	-9999
403	-9999
404	-9999
405	-9999
406	-9999
407	-9999
408	-9999
409	-9999
410	-9999
411	-9999
412	-9999
413	-9999
414	-9999
415	-9999
416	-9999
417	-9999
418	-9999
419	-9999
420	-9999
421	-9999
422	-9999
423	-9999
424	-9999
425	-9999
426	-9999
427	-9999
428	-9999
429	-9999
430	-9999
431	-9999
432	-9999
433	-9999
434	-9999
435	-98
436	-87.3125
437	-51.66666667
438	-28.16666667
439	-2.5625
440	11.83333333
441	23.64583333
442	40.20833333
443	45.66666667
444	44.6875
445	42.41666667
446	34.52083333
447	32.29166667
448	47.0625
449	42.29166667
450	36.35416667
451	33.95833333
452	36.875
453	36.0625
454	43.66666667
455	68.66666667
456	69.5625
457	66.14583333
458	60.52083333
459	55.85416667
460	50.02083333
461	46.47916667
462	43.58333333
463	41.33333333
464	37.97916667
465	32.79166667
466	26.77083333
467	24.9375
468	25.25
469	25.375
470	39.79166667
471	45.89583333
472	74.66666667
473	69.91666667
474	90.35416667
