days	CH4_flux	CH4_flux_sd
242	0.32133394	0.005
243	0.1232496	0.005
244	0.11909376	0.005
271	0.09450831	0.005
272	0.0873504	0.005
299	0.0377856	0.005
502	0.0119808	0.005
530	0.0383616	0.005
565	0.1398816	0.005
636	0.02621623	0.005
671	0.0146016	0.005
852	0.0010368	0.005
913	0.0286848	0.005
934	0.09760731	0.005
935	0.2231712	0.005
936	0.2048544	0.005
940	0.0575424	0.005
991	0.16636652	0.005
992	0.21639497	0.005
1033	0.0438912	0.005
1034	0.0274752	0.005
1263	0.0343872	0.005
1264	0.0082944	0.005
1286	0.3729888	0.005
1287	0.062208	0.005
1320	0.1804032	0.005
1350	0.10761984	0.005
1390	0.09040896	0.005
1391	0.0324	0.005
1434	0.0145152	0.005
