 day,wcl1,wcl2,wcl3,wcl4,wcl5,wcl6,wcl7,wcl8,wcl9,wcl10,liq_water1,liq_water2,liq_water3,liq_water4,liq_water5, liq_water6,liq_water7,liq_water8,liq_water9,liq_water10,ice1,ice2,ice3,ice4,ice5,ice6,ice7,ice8,ice9,ice10,zwt
      1,         0.5648,         0.5649,         0.5650,         0.5650,         0.5650,         0.5650,         0.5650,         0.5650,         0.5650,         0.5649,        -0.0000,         0.0565,         0.0565,         0.0565,         0.0565,         0.1130,         0.1130,         0.1130,         0.1130,         0.1130,         0.0565,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         1.4749
      2,         0.5645,         0.5648,         0.5649,         0.5650,         0.5650,         0.5650,         0.5650,         0.5650,         0.5650,         0.5647,         0.0000,         0.0565,         0.0565,         0.0565,         0.0565,         0.1130,         0.1130,         0.1130,         0.1130,         0.1129,         0.0565,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         1.4387
      3,         0.5643,         0.5647,         0.5649,         0.5649,         0.5650,         0.5650,         0.5650,         0.5650,         0.5650,         0.5646,         0.0000,         0.0557,         0.0565,         0.0565,         0.0565,         0.1130,         0.1130,         0.1130,         0.1130,         0.1129,         0.0564,         0.0008,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         1.4281
      4,         0.5639,         0.5645,         0.5648,         0.5649,         0.5649,         0.5650,         0.5650,         0.5650,         0.5650,         0.5645,        -0.0000,         0.0545,         0.0565,         0.0565,         0.0565,         0.1130,         0.1130,         0.1130,         0.1130,         0.1129,         0.0564,         0.0020,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         1.3669
      5,         0.5635,         0.5643,         0.5647,         0.5648,         0.5649,         0.5650,         0.5650,         0.5650,         0.5650,         0.5644,         0.0000,         0.0533,         0.0565,         0.0565,         0.0565,         0.1130,         0.1130,         0.1130,         0.1130,         0.1129,         0.0563,         0.0032,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         1.2948
      6,         0.5632,         0.5642,         0.5646,         0.5648,         0.5649,         0.5650,         0.5650,         0.5650,         0.5649,         0.5642,        -0.0000,         0.0522,         0.0565,         0.0565,         0.0565,         0.1130,         0.1130,         0.1130,         0.1130,         0.1128,         0.0563,         0.0043,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         1.2544
      7,         0.5629,         0.5641,         0.5646,         0.5648,         0.5649,         0.5650,         0.5650,         0.5650,         0.5649,         0.5641,        -0.0000,         0.0511,         0.0565,         0.0565,         0.0565,         0.1130,         0.1130,         0.1130,         0.1130,         0.1128,         0.0563,         0.0054,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         1.2053
      8,         0.5626,         0.5639,         0.5645,         0.5647,         0.5649,         0.5650,         0.5650,         0.5650,         0.5649,         0.5640,         0.0000,         0.0500,         0.0565,         0.0565,         0.0565,         0.1130,         0.1130,         0.1130,         0.1130,         0.1128,         0.0563,         0.0065,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         1.1415
      9,         0.5620,         0.5636,         0.5644,         0.5647,         0.5648,         0.5650,         0.5650,         0.5650,         0.5648,         0.5639,         0.0000,         0.0489,         0.0564,         0.0565,         0.0565,         0.1130,         0.1130,         0.1130,         0.1130,         0.1128,         0.0562,         0.0075,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         1.0560
     10,         0.5615,         0.5634,         0.5643,         0.5647,         0.5648,         0.5650,         0.5650,         0.5650,         0.5648,         0.5639,         0.0000,         0.0479,         0.0564,         0.0565,         0.0565,         0.1130,         0.1130,         0.1130,         0.1130,         0.1128,         0.0562,         0.0085,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.9721
